,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
11280,24,19843,Parliament Railway Station (Melbourne City),-37.8110540555366,144.972910916416,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.972910916416 -37.8110540555366)
11281,25,19842,Melbourne Central Railway Station (Melbourne City),-37.8099387667448,144.962593535096,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.962593535096 -37.8099387667448)
11282,26,19841,Flagstaff Railway Station (Melbourne City),-37.811981307387,144.955653760429,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.955653760429 -37.811981307387)
11283,27,22180,Southern Cross Railway Station (Melbourne City),-37.8179364275358,144.951411219786,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.951411219786 -37.8179364275358)
11284,28,19854,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,2-BEL-mjp-8,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.966964346167 -37.8183051340647)
11285,18,22180,Southern Cross Railway Station (Melbourne City),-37.8179364275358,144.951411219786,2-B31-mjp-6,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.951411219786 -37.8179364275358)
11286,18,22180,Southern Cross Railway Station (Melbourne City),-37.8179364275358,144.951411219786,2-B31-mjp-8,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000,POINT (144.951411219786 -37.8179364275358)
11287,1,19906,Burnley Railway Station (Burnley),-37.8275602161722,145.007555147088,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.007555147088 -37.8275602161722)
11288,3,19908,Richmond Railway Station (Richmond),-37.8240744554307,144.990164256273,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.990164256273 -37.8240744554307)
11289,4,19843,Parliament Railway Station (Melbourne City),-37.8110540555366,144.972910916416,2-GLW-mjp-7,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF,POINT (144.972910916416 -37.8110540555366)
